"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"SparseArray","SparseArray","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.0",NA,"R (>= 4.3.0), methods, Matrix, BiocGenerics (>= 0.43.1),
MatrixGenerics (>= 1.11.1), S4Vectors (>= 0.43.2), S4Arrays (>=
1.5.11)","utils, stats, matrixStats, IRanges, XVector","S4Vectors, IRanges, XVector","HDF5Array, ExperimentHub, testthat, knitr, rmarkdown,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"SparseM","SparseM","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.84-2",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"spatial","spatial","C:/Users/zhouy/AppData/Local/R/win-library/4.4","7.3-17","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"spatstat.data","spatstat.data","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1-4",NA,"R (>= 3.5.0)","spatstat.utils (>= 3.0-5), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"spatstat.explore","spatstat.explore","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.3-3",NA,"R (>= 3.5.0), spatstat.data (>= 3.1-2), spatstat.univar (>=
3.0-0), spatstat.geom (>= 3.3-2), spatstat.random (>= 3.3-1),
stats, graphics, grDevices, utils, methods, nlme","spatstat.utils (>= 3.1-0), spatstat.sparse (>= 3.1-0), goftest
(>= 1.2-2), Matrix, abind",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8),
spatstat.linnet (>= 3.2-1), spatstat.model (>= 3.3-1), spatstat
(>= 3.1-1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"spatstat.geom","spatstat.geom","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.3-4",NA,"R (>= 3.5.0), spatstat.data (>= 3.1), spatstat.univar (>=
3.1-0), stats, graphics, grDevices, utils, methods","spatstat.utils (>= 3.1-1), deldir (>= 1.0-2), polyclip (>=
1.10-0)",NA,"spatstat.random (>= 3.3), spatstat.explore (>= 3.3),
spatstat.model (>= 3.3), spatstat.linnet (>= 3.2), spatial,
fftwtools (>= 0.9-8), spatstat (>= 3.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"spatstat.random","spatstat.random","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.3-2",NA,"R (>= 3.5.0), spatstat.data (>= 3.1), spatstat.univar (>=
3.0-0), spatstat.geom (>= 3.3-0), stats, utils, methods,
grDevices","spatstat.utils (>= 3.1-0)",NA,"spatial, spatstat.linnet (>= 3.1-5), spatstat.explore,
spatstat.model, spatstat (>= 3.0), gsl",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"spatstat.sparse","spatstat.sparse","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1-0",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 3.0-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"spatstat.univar","spatstat.univar","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1-1",NA,"R (>= 3.5.0), stats","spatstat.utils (>= 3.1-1)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"spatstat.utils","spatstat.utils","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1-1",NA,"R (>= 3.5.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.model",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"spData","spData","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3.3",NA,"R (>= 3.3.0)","sp",NA,"foreign, sf (>= 0.9-1), spDataLarge (>= 0.4.0), spdep,
spatialreg",NA,"CC0",NA,NA,NA,NA,"no","4.4.2"
"spdep","spdep","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3-8",NA,"R (>= 3.3.0), methods, spData (>= 2.3.1), sf","stats, deldir, boot (>= 1.3-1), graphics, utils, grDevices,
units, s2, e1071, sp (>= 1.0)",NA,"spatialreg (>= 1.2-1), Matrix, parallel, dbscan,
RColorBrewer, lattice, xtable, foreign, igraph, RSpectra,
knitr, classInt, tmap, spam, ggplot2, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"speedglm","speedglm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3-5",NA,"Matrix, MASS, biglm","methods, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.4.1"
"speff2trial","speff2trial","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.5",NA,"stats, leaps, survival",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"SQUAREM","SQUAREM","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"StanHeaders","StanHeaders","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.32.10",NA,"R (>= 3.4.0)","RcppParallel (>= 5.1.4)","RcppEigen (>= 0.3.4.0.0), RcppParallel (>= 5.1.4)","Rcpp, BH (>= 1.75.0-0), knitr (>= 1.36), rmarkdown, Matrix,
methods, rstan, withr",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"stargazer","stargazer","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.2.3",NA,NA,"stats, utils",NA,NA,"AER, betareg, brglm, censReg, dynlm, eha, erer, ergm, fGarch,
gee, glmx, gmm, lfe, lme4, lmtest, MASS, mclogit, mgcv, mlogit,
nlme, nnet, ordinal, plm, pscl, quantreg, rms, relevent,
robustbase, sampleSelection, spdep, survey, survival","GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"statmod","statmod","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.0",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"statnet.common","statnet.common","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.10.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools, Matrix",NA,"covr, rlang (>= 1.1.1), MASS",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"stringi","stringi","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.8.4",NA,"R (>= 3.4)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.4.0"
"stringr","stringr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.1",NA,"R (>= 3.6)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs (>= 0.4.0)",NA,"covr, dplyr, gt, htmltools, htmlwidgets, knitr, rmarkdown,
testthat (>= 3.0.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"styler","styler","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.10.3",NA,"R (>= 3.6.0)","cli (>= 3.1.1), magrittr (>= 2.0.0), purrr (>= 0.2.3), R.cache
(>= 0.15.0), rlang (>= 1.0.0), rprojroot (>= 1.1), tools, vctrs
(>= 0.4.1), withr (>= 2.3.0),",NA,"data.tree (>= 0.1.6), digest, here, knitr, prettycode,
rmarkdown, roxygen2, rstudioapi (>= 0.7), tibble (>= 1.4.2),
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"SummarizedExperiment","SummarizedExperiment","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.36.0",NA,"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.55.2), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.51.3),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.13.1), S4Arrays (>= 1.1.1), DelayedArray (>= 0.31.12)",NA,"jsonlite, rhdf5, HDF5Array (>= 1.7.5), annotate,
AnnotationDbi, GenomicFeatures, SparseArray,
SingleCellExperiment, TxDb.Hsapiens.UCSC.hg19.knownGene,
hgu95av2.db, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown,
RUnit, testthat, digest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"SuperLearner","SuperLearner","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0-29",NA,"R (>= 2.14.0), nnls, gam (>= 1.15)","cvAUC, methods",NA,"arm, bartMachine, biglasso, bigmemory, caret, class,
devtools, e1071, earth, gbm, genefilter, ggplot2, glmnet,
ipred, KernelKnn, kernlab, knitr, lattice, LogicReg, MASS,
mlbench, nloptr, nnet, party, polspline, prettydoc, quadprog,
randomForest, ranger, RhpcBLASctl, ROCR, rmarkdown, rpart, SIS,
speedglm, spls, sva, testthat, xgboost (>= 0.6)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"survAUC","survAUC","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3-0",NA,"R (>= 2.6.0),","survival, rms",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.2"
"survey","survey","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.4-2",NA,"R (>= 4.1.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice, minqa, numDeriv, mitools
(>= 2.4), Rcpp (>= 0.12.8)","Rcpp, RcppArmadillo","foreign, MASS, KernSmooth, hexbin, RSQLite, quantreg,
parallel, CompQuadForm, DBI, AER, SUMMER (>= 1.4.0), R.rsp",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"survival","survival","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.7-0","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"survminer","survminer","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.0",NA,"ggplot2(>= 3.4.0), ggpubr(>= 0.1.6)","grid, gridExtra (>= 2.0), magrittr, maxstat, methods, scales,
survival, stats, broom, dplyr, tidyr, survMisc, purrr, tibble,
rlang, ggtext (>= 0.1.0)",NA,"knitr, flexsurv, cmprsk, markdown, testthat, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"survMisc","survMisc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.5.6",NA,"survival","graphics, grDevices, stats, utils, knitr, KMsurv, ggplot2,
data.table, zoo, grid, gridExtra, km.ci, xtable",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"svglite","svglite","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.3",NA,"R (>= 3.5.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat (>= 3.0.0), xml2 (>= 1.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"sys","sys","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.4.3",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"sysfonts","sysfonts","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8.9",NA,NA,NA,NA,"curl, jsonlite",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"systemfonts","systemfonts","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.0",NA,"R (>= 3.2.0)","lifecycle","cpp11 (>= 0.2.1)","covr, knitr, rmarkdown, testthat (>= 2.1.0), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"tableone","tableone","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.13.2",NA,NA,"survey, MASS, e1071, zoo, gmodels, nlme, labelled",NA,"survival, testthat, Matrix, Matching, reshape2, ggplot2,
knitr, geepack, lme4, lmerTest, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"tables","tables","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9.31",NA,"R (>= 2.12.0)","stats, utils, knitr, htmltools",NA,"magrittr, kableExtra (>= 0.9.0), Hmisc, bookdown, rmarkdown,
pkgdown, formatters, tinytable (>= 0.0.5)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"tabulapdf","tabulapdf","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.5-5",NA,NA,"png, readr, rJava, tools, utils",NA,"graphics, grDevices, knitr, miniUI, shiny, testthat,
rmarkdown, covr",NA,"Apache License (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"tbd","tbd","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.0",NA,"R (>= 3.1.0), numDeriv",NA,NA,"stats",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"TCGAbiolinks","TCGAbiolinks","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.34.0",NA,"R (>= 4.0)","downloader (>= 0.4), grDevices, biomaRt, dplyr, graphics,
tibble, GenomicRanges, XML (>= 3.98.0), data.table, jsonlite
(>= 1.0.0), plyr, knitr, methods, ggplot2, stringr (>= 1.0.0),
IRanges, rvest (>= 0.3.0), stats, utils, S4Vectors, R.utils,
SummarizedExperiment (>= 1.4.0), TCGAbiolinksGUI.data (>=
1.15.1), readr, tools, tidyr, purrr, xml2, httr (>= 1.2.1)",NA,"jpeg, png, BiocStyle, rmarkdown, devtools, maftools,
parmigene, c3net, minet, Biobase, affy, testthat, sesame,
AnnotationHub, ExperimentHub, pathview, clusterProfiler,
Seurat, ComplexHeatmap, circlize, ConsensusClusterPlus, igraph,
supraHex, limma, edgeR, sva, EDASeq, survminer, genefilter,
gridExtra, survival, doParallel, parallel, ggrepel (>= 0.6.3),
scales, grid, DT",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"TCGAbiolinksGUI.data","TCGAbiolinksGUI.data","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.26.0",NA,"R (>= 3.5.0)",NA,NA,"BiocStyle, knitr, rmarkdown, readr, DT",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"tensor","tensor","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.4.0"
"tensorA","tensorA","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.36.2.1",NA,"R (>= 2.2.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"terra","terra","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.7-83",NA,"R (>= 3.5.0)","methods, Rcpp (>= 1.0-10)","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML,
leaflet (>= 2.2.1), htmlwidgets",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.2"
"tesseract","tesseract","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.2.2",NA,NA,"Rcpp (>= 0.12.12), pdftools (>= 1.5), curl, rappdirs, digest","Rcpp","magick (>= 1.7), spelling, knitr, tibble, rmarkdown",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.4.2"
"testit","testit","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.13",NA,NA,NA,NA,"rstudioapi, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"testthat","testthat","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.2.1.1",NA,"R (>= 3.6.0)","brio (>= 1.1.3), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.2), digest (>= 0.6.33), evaluate (>= 0.21), jsonlite (>=
1.8.7), lifecycle (>= 1.0.3), magrittr (>= 2.0.3), methods,
pkgload (>= 1.3.2.1), praise (>= 1.0.0), processx (>= 3.8.2),
ps (>= 1.7.5), R6 (>= 2.5.1), rlang (>= 1.1.1), utils, waldo
(>= 0.5.1), withr (>= 2.5.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"textshaping","textshaping","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.1",NA,"R (>= 3.2.0)","lifecycle, systemfonts (>= 1.1.0)","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"TH.data","TH.data","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1-2",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"trtf, tram, rms, coin, ATR, multcomp, gridExtra, vcd,
colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"thematic","thematic","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.6",NA,"R (>= 3.0.0)","farver, ggplot2 (>= 3.3.0), graphics, grDevices, grid,
rappdirs, rlang, rstudioapi (>= 0.8), scales, utils",NA,"bslib, Cairo, curl, gganimate, ggiraph, htmltools, jsonlite,
knitr, lattice, ragg, rmarkdown, shiny (>= 1.5.0), showtext,
stats, svglite, sysfonts, systemfonts, testthat, vdiffr (>=
1.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.3"
"tibble","tibble","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.2.1",NA,"R (>= 3.4.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"tidyr","tidyr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.1",NA,"R (>= 3.6)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"tidyselect","tidyselect","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.1",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.5.2), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"tidyverse","tidyverse","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"timechange","timechange","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"timeDate","timeDate","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4041.110",NA,"R (>= 3.6.0), methods","graphics, utils, stats",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"tinytable","tinytable","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.1",NA,"R (>= 4.1.0)","methods",NA,"base64enc, data.table (>= 1.15.2), fansi, ggplot2, gh,
marginaleffects, markdown, pandoc, quarto, rmarkdown,
rstudioapi, scales, stringi, tibble, tinysnapshot, tinytest,
tinytex, webshot2","knitr","GPL (>= 3)",NA,NA,NA,NA,"no","4.4.2"
"tinytex","tinytex","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.54",NA,NA,"xfun (>= 0.48)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"tmvtnorm","tmvtnorm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6",NA,"R (>= 1.9.0), mvtnorm, utils, Matrix, stats4, gmm","stats, methods",NA,"lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"TrialSize","TrialSize","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2.15.1)",NA,NA,NA,NA,"yes","4.4.2"
"truncnorm","truncnorm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-9",NA,"R (>= 3.4.0)",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"trust","trust","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1-8",NA,"R (>= 2.10.0)","stats",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"tzdb","tzdb","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.0",NA,"R (>= 3.5.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"ucminf","ucminf","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.2",NA,"R (>= 3.5.0)",NA,NA,"numDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"UCSC.utils","UCSC.utils","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.0",NA,NA,"methods, stats, httr, jsonlite, S4Vectors",NA,"DBI, RMariaDB, GenomeInfoDb, testthat, knitr, rmarkdown,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"units","units","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8-5",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","NISTunits, measurements, xml2, magrittr, pillar (>= 1.3.0),
dplyr (>= 1.0.0), vctrs (>= 0.3.1), ggplot2 (> 3.2.1), testthat
(>= 3.0.0), vdiffr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"urlchecker","urlchecker","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,"R (>= 3.3)","cli, curl, tools, xml2",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"usethis","usethis","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1.0",NA,"R (>= 3.6)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.2), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.1.0), rprojroot (>= 1.2), rstudioapi, stats, tools,
utils, whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, pkgload (>= 1.3.2.1), rmarkdown,
roxygen2 (>= 7.1.2), spelling (>= 1.2), styler (>= 1.2.0),
testthat (>= 3.1.8)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"utf8","utf8","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.4",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"uuid","uuid","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2-1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"uwot","uwot","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.2",NA,"Matrix","FNN, irlba, methods, Rcpp, RcppAnnoy (>= 0.0.17), RSpectra","dqrng, Rcpp, RcppAnnoy, RcppProgress","bigstatsr, covr, knitr, RcppHNSW, rmarkdown, rnndescent,
testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"V8","V8","C:/Users/zhouy/AppData/Local/R/win-library/4.4","6.0.0",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"vcd","vcd","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4-13",NA,"R (>= 2.4.0), grid","stats, utils, MASS, grDevices, colorspace, lmtest",NA,"KernSmooth, mvtnorm, kernlab, HSAUR3, coin",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"vctrs","vctrs","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6.5",NA,"R (>= 3.5.0)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"vegan","vegan","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.6-8",NA,"permute (>= 0.9-0), lattice, R (>= 4.1.0)","MASS, cluster, mgcv",NA,"parallel, tcltk, knitr, markdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.2"
